A Game About Digging A Hole|Arcade|Digging A Hole|Steam|DoubleBee|Mastered|8
AdVenture Capitalist|Idle Clicker|ADCap|IOS|Hyper Hippo Games|In Progress|0
AdVenture Capitalist|Idle Clicker|ADCap|Steam|Hyper Hippo Games|No Progress|0
Among Us|FriendSlop|Among Us|IOS|Innersloth|No Progress|0
Among Us|FriendSlop|Among Us|Epic|Innersloth|In Progress|0
Animal Crossing: New Horizons|Simulation|Animal Crossing|Switch|Nintendo|No Progress|0
ARK: Survival Ascended|Survival|ARK|Steam|Wildcard|In Progress|0
ARK: Survival Evolved|Survival|ARK|Steam|Wildcard|In Progress|0
Bad Piggies|Puzzle|Angry Birds|IOS|Rovio|In Progress|0
Bloons TD 6|Strategy|Bloons|Steam|Ninja Kiwi|In progress|0
Blue Sphere|2D Platformer|Sonic?|Genesis|Sega|No Progress|0
Bosconian|Arcade|Bosconian|Arcade|Bandi Namco|No Progress|0
Candy Crush Saga|Puzzle|Candy Crush|IOS|King|In Progress|0
Castle Crashers|Hack n Slash|Castle Crashers|Steam|The Behemoth|In Progress|0
Celeste|2D Platformer|Celeste|Steam|Maddy Makes Games Inc.|No Progress|0
Chicory: A Colorful Tale|Action-Adventure|Chicory|Wishes|In Progress|0
Comix Zone|Fighting|Comix|Genesis|Sega|No Progress|0
Crossy Road|Arcade|Crossy Road|IOS|Hipster Whale|No Progress|0
Despicable Me: The Game|2D Platformer|Despicable Me|Wii|Vicious Cycle Software|Completed|0
Dig Dug|Arcade|Dig Dug|Arcade|Bandi Namco|No Progress|0
Donkey Kong 64|3D Platformer|Donkey Kong|N64|Rareware|No Progress|0
Donkey Kong Bananza|3D Platformer|Donkey Kong|Switch 2|Nintendo|In Progress|0
Donkey Kong Country|2D Platformer|Donkey Kong|SNES|Rareware|No Progress|0
Donkey Kong Country 2: Diddy's Kong Quest|2D Platformer|Donkey Kong|SNES|Rareware|No Progress|0
Donkey Kong Country 3: Dixie Kong's Double Trouble!|2D Platformer|Donkey Kong|SNES|Rareware|No Progress|0
Donkey Kong Country Returns|2D Platformer|Donkey Kong|Wii|Retro Studios|Mastered|15
Donkey Kong Country Returns Shiny Medal Subset|2D Platformer|Donkey Kong|Wii|Retro Studios|Mastered|14
Donkey Kong Country Tropical Freeze|2D Platformer|Donkey Kong|Switch|Retro Studios|Beaten|0
Dr. Robotnik's Mean Bean Machine|Puzzle|Sonic|Genesis|Sega|No Progress|0
Dragon Spirit|Arcade|Dragon Spirit|Arcade|Bandi Namco|No Progress|0
Fall Guys|FriendSlop|Fall Guys|Epic|Mediatonic|Beaten|0
Fast Food Simulator|Simulation|Life Sim|Steam|No Ceiling Games|No Progress|0
Forza Horizon 5|Racing|Forza|Steam|Playground Games|No Progress|0
Forza Horizon 5|Racing|Forza|Xbox|Playground Games|In Progress|0
Forza Horizon 6|Racing|Forza|Steam|Playground Games|Beaten|0
Forza Horizon 6|Racing|Forza|Xbox|Playground Games|Beaten|0
Flicky|Arcade|Flicky|Genesis|Sega|No Progress|0
Galaga|Arcade|Galaga|Arcade|Bandi Namco|No Progress|0
Galaga '88|Arcade|Galaga|Arcade|Bandi Namco|No Progress|0
Galaxian|Arcade|Galaga|Arcade|Bandi Namco|No Progress|0
GeoGuessr Steam Edition|Puzzle|GeoGuessr|Steam|GeoGuessr|No Progress|0
Geometry Dash|Rythem|Geometry Dash|Steam|Robtop Games|In Progress|0
Geometry Dash Lite|Rythem|Geometry Dash|IOS|Robtop Games|No Progress|0
Geometry Dash Meltdown|Rythem|Geometry Dash|IOS|Roptop Games|In Progress|0
Geometry Dash Subzero|Rythem|Geometry Dash|IOS|Roptop Games|In Progress|0
Geometry Dash World|Rythem|Geometry Dash|IOS|Robtop Games|In Progress|0
Goat Simulator|Simulation|Goat Sim|Steam|Coffee Stain Studios|No Progress|0
Heave Ho|Puzzle|Heave Ho|Switch|Devolver Digital|No Progress|0
Hollow Knight|Metroidvania|Hollow Knight|Steam|Team Cherry|Beaten|0
Hollow Knight: Silksong|Metroidvania|Hollow Knight|Steam|Team Cherry|In Progress|0
Hill Climb Racing|Racing|Hill Climb|IOS|Fingersoft|In Progress|0
Kevin Van Dam Big Bass Challenge|Sports|Kevin Van Dam|Wii|Zoo Games|Beaten|0
Kirby & The Amazing Mirror|2D Platformer|Kirby|GBA|HAL Laboratory|No Progress|0
Kirby 64: The Crystal Shards|2D Platformer|Kirby|Switch|HAL Laboratory|In Progress|0
Kirby's Adventure|2D Platformer|Kirby|NES|HAL Laboratory|Beaten|0
Kirby And The Forgotten Land|3D Platformer|Kirby|Switch|HAL Laboratory|In Progress|0
Kirby And The Forgotten Land - Nintendo Switch 2 Edition|3D Platformer|Kirby|Switch 2|HAL Laboratory|No Progress|0
Kirby's Dream Land|2D Platformer|Kirby|GB|HAL Laboratory|No Progress|0
Kirby's Dream Land 2|2D Platformer|Kirby|GB|HAL Laboratory|No Progress|0
Kirby's Dream Land 3|2D Platformer|Kirby|SNES|HAL Laboratory|No Progress|0
Kirby Star Allies|2D Platformer|Kirby|Switch|HAL Laboratory|In Progress|0
Kirby Super Star|2D Platformer|Kirby|SNES|HAL Laboratory|No Progress|0
Knuckles In Sonic 2|2D Platformer|Sonic|Genesis|Sega|No Progress|0
Laundry Store Simulator|Simulation|Life Sim|Steam|Akhir Pekan Studios|No Progress|0
Lawn Mowing Simulator|Simulation|Life Sim|Epic|Unknown|No Progress|0
Lego Batman: The Video Game|Action-Adventure|Lego|Steam|TT Games|No Progress|0
Lego Batman 2: DC Super Heros|Action-Adventure|Lego|Steam|TT Games|No Progress|0
Lego Batman 3: Beyond Gotham|Action-Adventure|Lego|Steam|TT Games|No Progress|0
Lego Indiana Jones: The Original Adventures|Action-Adventure|Lego|Steam|TT Games|No Progress|0
Lego Indiana Jones 2: The Adventure Continues|Action-Adventure|Lego|Steam|TT Games|No Progress|0
Lego Star Wars: The Complete Saga|Action-Adventure|Lego|Wii|TT Games|Completed|0
Lego Star Wars: The Skywalker Saga|Action-Adventure|Lego|Epic|TT Games|In Progress|0
Links Crossbow Training|Shooter|Zelda|Wii|Nintendo|No Progress|0
Madden 13|Sports|Madden NFL|Wii U|Electronic Arts|Mastered|3
Mappy|Arcade|Mappy|Arcade|Bandi Namco|No Progress|0
Mario & Sonic At The 2016 Rio Olympic Games|Sports|Mario & Sonic|Wii U|Nintendo/Sega|In Progress|0
Mario Golf: Toadstool Tour|Sports|Super Mario|Gamecube|Nintendo|In Progress|0
Mario Kart 64|Racing|Super Mario|N64|Nintendo|In Progress|0
Mario Kart 7|Racing|Super Mario|3DS|Nintendo|Beaten|0
Mario Kart 8|Racing|Super Mario|Wii U|Nintendo|In Progress|0
Mario Kart 8 Deluxe|Racing|Super Mario|Switch|Nintendo|In Progress|0
Mario Kart: Double Dash!!|Racing|Super Mario|Gamecube|Nintendo|Mastered|6
Mario Kart: Double Dash!! Hero Subset|Racing|Super Mario|Gamecube|RA|Mastered|13
Mario Kart: Double Dash!! Plus|Racing|Super Mario|Gamecube|Rom-Hack|No Progress|0
Mario Kart: Double Dash!! Extended|Racing|Super Mario|Gamecube|Rom-Hack|In Progress|0
Mario Kart DS|Racing|Super Mario|DS|Nintendo|Beaten|0
Mario Kart Super Circuit|Racing|Super Mario|GBA|Nintendo|Beaten|0
Mario Kart Tour|Racing|Super Mario|IOS|Nintendo|Mastered|2
Mario Kart Wii|Racing|Super Mario|Wii|Nintendo|In Progress|0
Mario Kart World|Racing|Super Mario|Switch 2|Nintendo|In Progress|0
Mario Party 5|Party|Super Mario|Gamecube|Nintendo|No Progress|0
Mario Party Superstars|Party|Super Mario|Switch|Nintendo|In Progress|0
Mario Power Tennis|Sports|Super Mario|Gamecube|Nintendo|In Progress|0
Mario Sports Mix|Sports|Super Mario|Wii|Nintendo|In Progress|0
Mario Super Sluggers|Sports|Super Mario|Wii|Nintendo|In Progress|0
MECCHA CHAMELEON|FriendSlop|MECCHA|Steam|lemorion_1224|Mastered|15
Metroid|Metroidvania|Metroid|NES|Nintendo|No Progress|0
Metroid 2: Return Of Samus|Metroidvania|Metroid|GB|Nintendo|No Progress|0
Metroid Fusion|Metroidvania|Metroid|GBA|Nintendo|No Progress|0
Metroid Prime|Metroidvania|Metroid|Gamecube|Nintendo|No Progress|0
Metroid Prime 2: Echos|Metroidvania|Metroid|Gamecube|Nintendo|No Progress|0
Metroid Prime 2D Demo|Metroidvania|Metroid|Windows|Fan Game|No Progress|0
Metroid Prime 3: Corruption|Metroidvania|Metroid|Wii|Nintendo|No Progress|0
Metroid Prime Trilogy|Metroidvania|Metroid|Wii|Nintendo|No Progress|0
Metroid Zero Mission|Metroidvania|Metroid|GBA|Nintendo|No Progress|0
Microsoft Solitaire Collection|Party|Microsoft Games|Windows|Microsoft|Beaten|0
Minecraft Bedrock Edition|Sandbox|Minecraft|Switch|Mojang|No Progress|0
Minecraft Bedrock Edition|Sandbox|Minecraft|Xbox|Mojang|Mastered|12
Minecraft Dungeons|Dungeon Crawler|Minecraft|Steam|Mojang|No Progress|0
